     0.000  -230.673814056  -230.534769536  -230.534769536  -230.497975847
     0.100  -230.673259920  -230.535242532  -230.535242532  -230.497976374
     0.200  -230.672823281  -230.535902274  -230.535902274  -230.497977131
     0.300  -230.672506458  -230.536744825  -230.536744825  -230.497979035
     0.400  -230.672307712  -230.537759071  -230.537759071  -230.497977859
     0.500  -230.672225657  -230.538941748  -230.538941748  -230.497979222
     0.600  -230.672255564  -230.540278669  -230.540278669  -230.497979714
     0.700  -230.672390196  -230.541757737  -230.541757737  -230.497979769
     0.800  -230.672620038  -230.543366866  -230.543366866  -230.497981396
     0.900  -230.672930736  -230.545088779  -230.545088779  -230.497982739
     1.000  -230.673311878  -230.546908880  -230.546908880  -230.497985677
     1.100  -230.673746415  -230.548805412  -230.548805412  -230.497985691
     1.200  -230.674220936  -230.550765222  -230.550765222  -230.497987295
     1.300  -230.674713724  -230.552767286  -230.552767286  -230.497987242
     1.400  -230.675210615  -230.554797266  -230.554797266  -230.497988754
     1.500  -230.675696834  -230.556835189  -230.556835189  -230.497988897
     1.600  -230.676151275  -230.558866976  -230.558866976  -230.497989832
     1.700  -230.676560665  -230.560877450  -230.560877450  -230.497991574
     1.800  -230.676909044  -230.562850798  -230.562850798  -230.497992272
     1.900  -230.677184240  -230.564775123  -230.564775123  -230.497992618
     2.000  -230.677371710  -230.566641062  -230.566641062  -230.497994381
     2.100  -230.677462491  -230.568434639  -230.568434639  -230.497993242
     2.200  -230.677446856  -230.570151593  -230.570151593  -230.497993155
     2.300  -230.677319272  -230.571785707  -230.571785707  -230.497994763
     2.400  -230.677073787  -230.573326638  -230.573326638  -230.497993363
     2.500  -230.676704547  -230.574775306  -230.574775306  -230.497994459
     2.600  -230.676209711  -230.576125867  -230.576125867  -230.497995932
     2.700  -230.675587627  -230.577373006  -230.577373006  -230.497995527
     2.800  -230.674836619  -230.578515233  -230.578515233  -230.497994349
     2.900  -230.673955599  -230.579553469  -230.579553469  -230.497995623
     3.000  -230.672946064  -230.580481424  -230.580481424  -230.497995226
     3.100  -230.671806421  -230.581299441  -230.581299441  -230.497995630
     3.200  -230.670539664  -230.582004608  -230.582004608  -230.497996075
